AD;Full-flowering date (DOY);March-Mean-Temp
1944;100;6.94 
1946;97;6.96 
1947;107;6.98 
1948;102;7.02 
1949;107;7.09 
1950;99;7.03 
1951;98;7.07 
1952;105;7.23 
1953;101;7.23 
1954;98;7.18 
1955;97;7.17 
1956;99;7.33 
1957;103;7.33 
1958;99;7.36 
1959;92;7.38 
1960;95;7.39 
1961;99;7.41 
1962;102;7.45 
1963;101;7.48 
1964;99;7.53 
1965;110;7.58 
1966;97;7.58 
1967;97;7.63 
1968;99;7.68 
1969;101;7.61 
1970;107;7.60 
1971;98;7.55 
1972;99;7.59 
1973;97;7.56 
1974;99;7.63 
1975;100;7.67 
1976;99;7.65 
1977;93;7.70 
1978;104;7.75 
1979;97;7.76 
1980;102;7.76 
1981;99;7.83 
1982;93;7.83 
1983;99;7.89 
1984;109;7.94 
1985;99;7.95 
1986;102;8.05 
1987;95;8.12 
1988;106;8.13 
1989;93;8.18 
1990;88;8.18 
